id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
1001438,Private bedroom Queen W/Toronto Western Hospital,3131000,Janet,Toronto,Trinity-Bellwoods,43.64822,-79.40732,Private room,60,28,168,30-03-2024,1.25,1,196
1009656,Bloorcourt Village Apt. longer-term accommodations,5554523,Holly & Chad,Toronto,Dovercourt-Wallace Emerson-Junction,43.66712,-79.43177,Entire home/apt,140,28,169,30-04-2022,1.25,1,41
1022764,Beautiful Davisville Toronto Home,5630548,Daniel,Toronto,Mount Pleasant East,43.70878,-79.38229,Entire home/apt,447,28,13,03-11-2018,0.1,1,365
1030061,Modern 1 Bedroom Condo in Entertainment District,1984757,Michelle,Toronto,Waterfront Communities-The Island,43.64451,-79.39205,Entire home/apt,98,80,28,02-06-2024,0.29,1,193
1033151,The Great Gerrard - Paris Suite,377846,Nick & Nena,Toronto,East End-Danforth,43.6809,-79.30485,Entire home/apt,75,28,51,19-05-2024,0.38,18,359
1033162,DOWNTOWN TORONTO LUXURY PENTHOUSE CORPORATE SUITE,2175675,Frank,Toronto,Waterfront Communities-The Island,43.64285,-79.38026,Entire home/apt,139,28,7,17-12-2023,0.09,4,51
1035534,Private Rooms with ensuite bathroom,5700231,Roxy,Toronto,South Riverdale,43.66721448,-79.33893671,Private room,68,120,0,,,5,365
1036076,"Luxury Apt, Garden, small Dog welcome, Ev Charger",4468895,Melanie,Toronto,Willowdale East,43.76633,-79.40424,Entire home/apt,108,28,42,30-04-2024,0.36,1,238
1053838,Beautiful Private room Downtown Toronto,2741400,Rk,Toronto,Palmerston-Little Italy,43.65638,-79.41567,Private room,70,31,152,22-12-2019,1.14,1,345
1057144,Beautiful Toronto Home opp Park,265033,Vivienne,Scarborough,Dufferin Grove,43.65883,-79.43081,Entire home/apt,225,28,6,28-10-2016,0.05,1,358
1066205,Downtown East One Bdrm and Spacious Bath,4010527,Diane,Toronto,Moss Park,43.65696,-79.37193,Entire home/apt,255,31,29,06-12-2023,0.31,5,321
1066718,Entire Suite with Private Entry/Bath/Garden,5867364,Emil,Toronto,Niagara,43.64535,-79.40446,Private room,205,2,668,05-06-2024,4.94,1,196
1073616,Beaches fully furnished apt sunroom,175687,John,Toronto,The Beaches,43.67232,-79.28684,Entire home/apt,90,28,0,,,2,42
1080121,Downtown Suite with the Best Views in the City,672978,Katy,Toronto,Waterfront Communities-The Island,43.64159,-79.38115,Entire home/apt,186,90,516,18-03-2020,3.89,2,365
1089868,Smooth - Luxury Executive Condo,5988339,Toronto Luxury Suites,Toronto,Waterfront Communities-The Island,43.64657,-79.38974,Entire home/apt,212,180,0,,,49,363
1092407,Great Gerrard - Mona Lisa Suite,377846,Nick & Nena,Toronto,East End-Danforth,43.68185,-79.30506,Entire home/apt,74,28,35,01-06-2024,0.26,18,315
1106103,Rare Trinity Bellwoods w/ Outdoor Kitchen & Living,6073307,Victoria,Toronto,Trinity-Bellwoods,43.6524,-79.41476,Entire home/apt,275,28,0,,,1,283
1110760,The Great Gerrard - New York Suite,377846,Nick & Nena,Toronto,East End-Danforth,43.68239,-79.30521,Entire home/apt,72,28,38,04-03-2024,0.28,18,330
1145641,Annex/Little Italy Private Room,4966594,Mark,Toronto,University,43.65966636,-79.4081917,Private room,110,5,45,26-05-2024,0.34,2,73
1150719,Garden Aptartment,6306986,William,Toronto,South Riverdale,43.65761033,-79.34878979,Entire home/apt,131,3,92,04-06-2024,0.68,1,54
1153863,One bedroom and private bath by the lake,6323589,Ranjani,Toronto,Mimico (includes Humber Bay Shores),43.62193938,-79.48603603,Private room,99,3,5,25-09-2023,0.49,1,345
1161630,Downtown Park-front Home,6351139,Julie,Toronto,Dovercourt-Wallace Emerson-Junction,43.66649,-79.43523,Entire home/apt,72,28,0,,,1,182
1162480,Chic Downtown Condo Loft + parking,6255603,Fojan,Toronto,Regent Park,43.65695,-79.35854,Entire home/apt,152,29,52,08-02-2020,0.44,1,314
1170889,COOL SPOT TORONTO-GRT DEAL-HIP HOOD,6410636,Deb,Toronto,Palmerston-Little Italy,43.65643699,-79.42472659,Private room,95,30,23,04-12-2023,0.18,1,359
1174893,LUXURY CONDO NEXT TO KIPLING SUBWAY,173823,James,Etobicoke,Islington-City Centre West,43.6376,-79.53548,Entire home/apt,90,30,5,30-04-2017,0.04,3,166
1194984,Spacious Room and Private Bath,6530148,Lin,York,Roncesvalles,43.644,-79.4427,Private room,65,28,22,26-08-2017,0.16,1,88
1196880,Happy Downtown Lower Penthouse,6539250,Jennifer,Toronto,Niagara,43.64175,-79.41108,Entire home/apt,111,60,11,25-04-2019,0.1,1,68
1209935,Downtown Apt  Historic Cabbagetown,195472241,Vesta,Toronto,Cabbagetown-South St.James Town,43.66483,-79.36945,Entire home/apt,214,28,50,11-12-2022,0.42,1,0
1214297,Beautiful Lower level/Basement Apt #1- two bedroom,3604846,Wies,Toronto,High Park-Swansea,43.65305,-79.45495,Entire home/apt,150,30,18,28-09-2018,0.14,4,222
1221280,"1 bed + Office, Balcony, Close to Subway, Downtown",6662193,Prity,Toronto,Bay Street Corridor,43.65014,-79.38669,Entire home/apt,103,30,13,28-08-2023,0.1,1,25
1223097,"Colourful Apartment, Creative Space",6671740,Steven,Toronto,Annex,43.6695,-79.40656,Entire home/apt,94,28,132,25-05-2024,1.11,1,54
1242683,Beautiful spacious west end house,6773217,Alexa,Toronto,South Riverdale,43.65204,-79.34655,Entire home/apt,225,7,37,31-07-2023,0.34,1,16
1254468,Oasis in Art Area of Queen West.,3406595,Inger,Toronto,Trinity-Bellwoods,43.64814,-79.4177,Private room,165,3,135,20-05-2024,1.25,2,10
1269925,Casa Meya - Toronto Villa,6911938,Roozbeh,Toronto,Parkwoods-Donalda,43.75524,-79.33521,Entire home/apt,964,4,57,30-12-2023,0.47,2,122
1294243,Enjoy Toronto Junction.,1025890,Amir,Toronto,Junction Area,43.66779,-79.46335,Entire home/apt,65,180,1,10-11-2013,0.01,1,365
1297164,HOME is TORONTO,5244098,Pablo,Toronto,Yonge-St.Clair,43.68857,-79.40087,Private room,134,28,55,04-05-2024,0.42,1,245
1299374,Beaches Butterfly Garden Suite,7065012,Jude,East York,East End-Danforth,43.67646,-79.30791,Entire home/apt,93,28,60,31-12-2019,0.45,2,43
1301718,Uber Upper Beach 3 Bedroom Suite,377846,Nick & Nena,Toronto,East End-Danforth,43.68516,-79.29243,Entire home/apt,147,28,26,04-09-2023,0.22,18,338
1321398,Toronto Beach Paradise,7173548,Pasqua,Toronto,The Beaches,43.67244,-79.28464,Entire home/apt,138,1,110,09-06-2024,0.92,2,253
1326015,Beautiful sun filled Bloordale home,2499198,Melissa,Toronto,Dovercourt-Wallace Emerson-Junction,43.66441,-79.45084,Entire home/apt,187,28,22,29-05-2018,0.17,1,14
1335133,Newly reno'd 2-story house in family-friendly hood,613837,Brett,Toronto,Old East York,43.69489,-79.33345,Entire home/apt,259,13,21,12-08-2023,0.16,1,174
1348067,The Great Gerrard - Toronto Suite,377846,Nick & Nena,Toronto,East End-Danforth,43.68358,-79.30637,Entire home/apt,90,28,21,07-11-2023,0.16,18,254
1369701,Private room upstairs,7428349,Steve,North York,Corso Italia-Davenport,43.67535,-79.45502,Private room,85,28,21,23-11-2019,0.16,1,83
1370412,Sunny Bachelor Studio,1102328,Isil,Toronto,Dufferin Grove,43.65499797,-79.44582592,Entire home/apt,150,5,9,25-02-2024,0.1,2,287
1426591,Chic Condo in Trendy Queen West,7672988,Nadia,Toronto,Little Portugal,43.65012,-79.43928,Private room,88,28,33,04-07-2021,0.25,2,269
1455503,Large Luxury Suite in Downtown Toronto King West,4332338,Agnes Eva,Toronto,Niagara,43.64109,-79.40308,Entire home/apt,200,30,9,12-05-2016,0.08,1,90
1456369,FURNISHED BASEMENT APARTMENT IN A RAISED BUNGALOW,6153361,Asoka,Toronto,Agincourt South-Malvern West,43.79099,-79.27216,Entire home/apt,75,3,19,21-12-2023,0.24,1,163
1462084,Spacious 1BR Near St. Lawrence Market,1397143,Gregory,Toronto,Waterfront Communities-The Island,43.64768,-79.37398,Entire home/apt,140,28,100,04-04-2024,0.76,1,37
1475233,Super awesome condo w FREE Parking!,7895355,T,Toronto,Niagara,43.64053,-79.41775,Entire home/apt,200,28,74,01-08-2023,0.57,2,90
1475851,Noble - Luxury Executive Condo,5988339,Toronto Luxury Suites,Toronto,Annex,43.67197,-79.38791,Entire home/apt,139,30,0,,,49,365
1475900,Fresh - Luxury Executive Condo,5988339,Toronto Luxury Suites,Toronto,Annex,43.67197,-79.38791,Entire home/apt,324,30,0,,,49,312
1477940,Toronto Modern Urban Hideaway,1200367,Grace,Toronto,Dovercourt-Wallace Emerson-Junction,43.66712,-79.45213,Entire home/apt,128,28,49,30-04-2023,0.38,4,283
1486931,Large & Bright Authentic Loft,174616,David,Toronto,South Parkdale,43.63894,-79.42223,Entire home/apt,191,2,209,26-05-2024,1.59,1,295
1546244,"Superb Little Italy, Toronto",4991306,Julie,Scarborough,Trinity-Bellwoods,43.65608,-79.40949,Private room,130,3,189,09-06-2024,2.29,1,247
1550684,The Greenhouse Loft,2385315,Mindy,Toronto,Dufferin Grove,43.6556,-79.44356,Entire home/apt,249,3,21,07-05-2024,0.76,1,11
